Year,Month,Weekday,State,NumOfAccidents
2016,7,Monday,AL,2
2016,7,Monday,AR,1
2016,7,Monday,AZ,53
2016,7,Monday,CA,1792
2016,7,Monday,CO,19
2016,7,Monday,CT,52
2016,7,Monday,DC,5
2016,7,Monday,DE,6
2016,7,Monday,FL,708
2016,7,Monday,GA,238
2016,7,Monday,IA,17
2016,7,Monday,ID,7
2016,7,Monday,IL,340
2016,7,Monday,IN,14
2016,7,Monday,KS,15
2016,7,Monday,KY,27
2016,7,Monday,LA,8
2016,7,Monday,MA,68
2016,7,Monday,MD,143
2016,7,Monday,ME,2
2016,7,Monday,MI,279
2016,7,Monday,MN,32
2016,7,Monday,MO,75
2016,7,Monday,MS,6
2016,7,Monday,MT,1
2016,7,Monday,NC,177
2016,7,Monday,NE,58
2016,7,Monday,NH,7
2016,7,Monday,NJ,117
2016,7,Monday,NM,3
2016,7,Monday,NV,61
2016,7,Monday,NY,346
2016,7,Monday,OH,182
2016,7,Monday,OK,3
2016,7,Monday,OR,26
2016,7,Monday,PA,428
2016,7,Monday,RI,17
2016,7,Monday,SC,45
2016,7,Monday,TN,38
2016,7,Monday,TX,911
2016,7,Monday,UT,35
2016,7,Monday,VA,69
2016,7,Monday,WA,180
2016,7,Monday,WI,38
2016,7,Monday,WV,18
2016,7,Monday,WY,3
2016,7,Saturday,AZ,20
2016,7,Saturday,CA,907
2016,7,Saturday,CO,17
2016,7,Saturday,CT,39
2016,7,Saturday,DC,2
2016,7,Saturday,DE,10
2016,7,Saturday,FL,334
2016,7,Saturday,GA,126
2016,7,Saturday,IA,5
2016,7,Saturday,ID,11
2016,7,Saturday,IL,80
2016,7,Saturday,IN,15
2016,7,Saturday,KS,6
2016,7,Saturday,KY,2
2016,7,Saturday,LA,5
2016,7,Saturday,MA,16
2016,7,Saturday,MD,46
2016,7,Saturday,MI,80
2016,7,Saturday,MN,21
2016,7,Saturday,MO,41
2016,7,Saturday,MS,1
2016,7,Saturday,NC,15
2016,7,Saturday,NE,13
2016,7,Saturday,NH,1
2016,7,Saturday,NJ,45
2016,7,Saturday,NM,1
2016,7,Saturday,NV,8
2016,7,Saturday,NY,147
2016,7,Saturday,OH,31
2016,7,Saturday,OK,1
2016,7,Saturday,OR,11
2016,7,Saturday,PA,41
2016,7,Saturday,RI,3
2016,7,Saturday,SC,24
2016,7,Saturday,TN,6
2016,7,Saturday,TX,465
2016,7,Saturday,UT,12
2016,7,Saturday,VA,21
2016,7,Saturday,WA,87
2016,7,Saturday,WI,15
2016,7,Saturday,WV,2
2016,7,Saturday,WY,2
2016,7,Sunday,AZ,24
2016,7,Sunday,CA,756
2016,7,Sunday,CO,4
2016,7,Sunday,CT,30
2016,7,Sunday,DC,4
2016,7,Sunday,DE,3
2016,7,Sunday,FL,205
2016,7,Sunday,GA,102
2016,7,Sunday,IA,17
2016,7,Sunday,ID,7
2016,7,Sunday,IL,66
2016,7,Sunday,IN,16
2016,7,Sunday,KS,5
2016,7,Sunday,KY,6
2016,7,Sunday,LA,5
2016,7,Sunday,MA,13
2016,7,Sunday,MD,44
2016,7,Sunday,MI,78
2016,7,Sunday,MN,9
2016,7,Sunday,MO,24
2016,7,Sunday,MS,1
2016,7,Sunday,NC,5
2016,7,Sunday,NE,3
2016,7,Sunday,NJ,36
2016,7,Sunday,NV,12
2016,7,Sunday,NY,150
2016,7,Sunday,OH,23
2016,7,Sunday,OR,2
2016,7,Sunday,PA,62
2016,7,Sunday,RI,4
2016,7,Sunday,SC,19
2016,7,Sunday,TN,12
2016,7,Sunday,TX,352
2016,7,Sunday,UT,11
2016,7,Sunday,VA,28
2016,7,Sunday,WA,66
2016,7,Sunday,WI,5
2016,7,Sunday,WV,1
2016,7,Thursday,AL,7
2016,7,Thursday,AZ,84
2016,7,Thursday,CA,2232
2016,7,Thursday,CO,39
2016,7,Thursday,CT,89
2016,7,Thursday,DC,13
2016,7,Thursday,DE,2
2016,7,Thursday,FL,879
2016,7,Thursday,GA,251
2016,7,Thursday,IA,18
2016,7,Thursday,ID,9
2016,7,Thursday,IL,458
2016,7,Thursday,IN,40
2016,7,Thursday,KS,18
2016,7,Thursday,KY,29
2016,7,Thursday,LA,23
2016,7,Thursday,MA,117
2016,7,Thursday,MD,169
2016,7,Thursday,ME,4
2016,7,Thursday,MI,363
2016,7,Thursday,MN,71
2016,7,Thursday,MO,74
2016,7,Thursday,MS,12
2016,7,Thursday,MT,5
2016,7,Thursday,NC,255
2016,7,Thursday,NE,122
2016,7,Thursday,NH,3
2016,7,Thursday,NJ,146
2016,7,Thursday,NM,2
2016,7,Thursday,NV,43
2016,7,Thursday,NY,416
2016,7,Thursday,OH,195
